fokontany,commune,district,region,province
Ambatomilahatrano,Andranomeva,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Bemakamba,Andranomeva,Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Anjobajoba,Andranoboka,Mahajanga II,Boeny,Mahajanga
Tsaramandroso,Andranoboka,Mahajanga II,Boeny,Mahajanga
Andapa Tamboro,Andranobolaha,Toamasina II,Atsinanana,Toamasina
Andranovaky,Andranobolaha,Toamasina II,Atsinanana,Toamasina
Ambodibonara,Andranobolaha,Toamasina II,Atsinanana,Toamasina
Talaky,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Ambalamarina,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Anjama Ivo,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Ankadilanana,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Antananomby,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Loharano,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Atsimondrano,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Ampiterena,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Andina Centre,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Ampotsinatsy,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Anosikobondro,Marovoay Banlieue,Marovoay,Boeny,Mahajanga
Andakalaka,Marovoay Banlieue,Marovoay,Boeny,Mahajanga
Ambatobe,Marovoay Banlieue,Marovoay,Boeny,Mahajanga
Ambovokatrakatraka,Marovoay Banlieue,Marovoay,Boeny,Mahajanga
Miadana,Marovoay Banlieue,Marovoay,Boeny,Mahajanga
Andoharanofotsy,Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Mahalavolona,Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Belambanana,Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Irano Anosilava,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Mahalay,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Itohy,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Vohimanombo,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Ambalaseva,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Andranomiboaka,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Tanamarina Laobato,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Antaniditra,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Mahavanona,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Ambalamisaotra,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Vohitenina,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Andovoka,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Mahabo,Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ambohimanala,Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Volotara Firaisana,Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Morarano Firaisana,Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Iavoloha,Andoharanofotsy,Antananarivo Atsimondrano,Analamanga,Antananarivo
Andreamitsioka,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Mitsinjorano,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Ambalabetsila,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Ampanenjanana,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Ranomaitso,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Soamanakova,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Vatomaitso,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Ambohitrasoavina,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Betapoaka,Andoharanomaitso,Isandra,Matsiatra Ambony,Fianarantsoa
Andohariana,Andohariana,Andramasina,Analamanga,Antananarivo
Mangarivotra,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Ambohibary Est,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Amparihiritra,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Andranovelona,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Beraketa,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Andiolava,Andiolava,Ihosy,Ihorombe,Fianarantsoa
Ankazoabokely,Andiolava,Ihosy,Ihorombe,Fianarantsoa
Ambatofotsy,Andiolava,Ihosy,Ihorombe,Fianarantsoa
Ambondrobe,Andiolava,Ihosy,Ihorombe,Fianarantsoa
Ambodimanga Seranana,Andohajango,Mandritsara,Sofia,Mahajanga
Maholiafo,Andonabe,Mananjary,Vatovavy,Fianarantsoa
Ambohitsara,Andonabe,Mananjary,Vatovavy,Fianarantsoa
Ambodisaina,Andonabe,Mananjary,Vatovavy,Fianarantsoa
Tanambao Tsimivatsy,Andonabe,Mananjary,Vatovavy,Fianarantsoa
Ambatoringitra,Andonabe,Mananjary,Vatovavy,Fianarantsoa
Seranana,Andonabe,Mananjary,Vatovavy,Fianarantsoa
Ambatomitsangana,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambinanifatranonoka,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Maromitety I,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambalaomby,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambohimalaza,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Ambalabe,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Sakabera Sikily,Ankilimalinike,Toliary-II,Atsimo-Andrefana,Toliara
Ankatrakatraka,Ankilimalinike,Toliary-II,Atsimo-Andrefana,Toliara
Antapoake,Ankilimalinike,Toliary-II,Atsimo-Andrefana,Toliara
Andolofotsy,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Betsinjovina,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Ambohidrano,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Alakamisy Nord,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Bemangidy,Andolofotsy,Miarinarivo,Itasy,Antananarivo
Hiambanony,Andranomafana,Betafo,Vakinankaratra,Antananarivo
Manataokafa,Andranomafana,Betafo,Vakinankaratra,Antananarivo
Tsarazafy,Andranomafana,Betafo,Vakinankaratra,Antananarivo
Anjazafotsy,Andranomafana,Betafo,Vakinankaratra,Antananarivo
Ambatoatsipy,Andranomiady,Faratsiho,Vakinankaratra,Antananarivo
Ambatonilaisoa,Andranomiady,Faratsiho,Vakinankaratra,Antananarivo
Marokona II,Andranomiditra,Vohibato,Matsiatra Ambony,Fianarantsoa
Soanierana,Andranomiditra,Vohibato,Matsiatra Ambony,Fianarantsoa
Andreana Vohibato,Andranomiditra,Vohibato,Matsiatra Ambony,Fianarantsoa
Anjakiriky Lavasadia,Andranovory,Toliary-II,Atsimo-Andrefana,Toliara
Ankilimivory,Ankilimivory,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Votovoatavo,Ankilimivory,Ampanihy Ouest,Atsimo-Andrefana,Toliara
