fokontany,commune,district,region,province
Antsiatsiaka,Betsako,Mahajanga II,Boeny,Mahajanga
Miadana,Betsako,Mahajanga II,Boeny,Mahajanga
Ambalika,Betsako,Mahajanga II,Boeny,Mahajanga
Mazavahely,Betsakotsako Andranotsara,Andapa,Sava,Antsiranana
Ambalabe,Betsakotsako Andranotsara,Andapa,Sava,Antsiranana
Ambodimangasoa,Betsakotsako Andranotsara,Andapa,Sava,Antsiranana
Morafeno,Betsiaka,Ambilobe,Diana,Antsiranana
Ambararata Loky,Betsiaka,Ambilobe,Diana,Antsiranana
Ankatoko,Betsiaka,Ambilobe,Diana,Antsiranana
Sandranary,Betsiaka,Ambilobe,Diana,Antsiranana
Mosorobe,Betsiaka,Ambilobe,Diana,Antsiranana
Vohimena,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Krisiasy,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Tsaramasoandro,Betsohana,Mandoto,Vakinankaratra,Antananarivo
Morafeno Nord,Betsohana,Mandoto,Vakinankaratra,Antananarivo
Ampasatokana,Betsohana,Mandoto,Vakinankaratra,Antananarivo
Manambaro,Bevata,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Amboangimamy,Bevata,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Ankaramy,Betsiaka,Ambilobe,Diana,Antsiranana
Andrafialava,Betsiaka,Ambilobe,Diana,Antsiranana
Ampahaka,Betsiaka,Ambilobe,Diana,Antsiranana
Tanambao Mangily,Betsiaka,Ambilobe,Diana,Antsiranana
Betsiaka,Betsiaka,Ambilobe,Diana,Antsiranana
Camp Robin,Camp Robin,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambohijanakova,Camp Robin,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Tambohobe,Camp Robin,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambatovory I,Camp Robin,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambodisatrana II,Sambava Cu,Sambava,Sava,Antsiranana
Masovariaka,Farahalana,Sambava,Sava,Antsiranana
Ambodimanga,Farahalana,Sambava,Sava,Antsiranana
Ampatakana,Farahalana,Sambava,Sava,Antsiranana
Antsirabe,Farahalana,Sambava,Sava,Antsiranana
Ambodiala,Farahalana,Sambava,Sava,Antsiranana
Marianina,Fiadanana,Ambohidratrimo,Analamanga,Antananarivo
Antanety Sud,Fiadanana,Ambohidratrimo,Analamanga,Antananarivo
Mankary,Fierenana,Moramanga,Alaotra-Mangoro,Toamasina
Manakambahiny,Fierenana,Moramanga,Alaotra-Mangoro,Toamasina
Fierenana,Fierenana,Moramanga,Alaotra-Mangoro,Toamasina
Ambatoafo,Fiadanana,Nosy-Varika,Vatovavy,Fianarantsoa
Andranomadio,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Ambatoharanana Ampitambe,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Sahamananina,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Soanierana,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Ankadirano,Farahalana,Sambava,Sava,Antsiranana
Valozoro,Fiadanana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Mahatsara I,Fiadanana,Nosy-Varika,Vatovavy,Fianarantsoa
Sakalava,Fiadanana,Nosy-Varika,Vatovavy,Fianarantsoa
Analamarina,Fiadanana,Nosy-Varika,Vatovavy,Fianarantsoa
Besofina,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Analavory,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Andohanatavy,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Masindrary,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Antara,Betsimisotra,Fandriana,Amoron'i Mania,Fianarantsoa
Ankaiasy,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Betsinjaka Ambony,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Samotelahy,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Ambolofoty,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Betsingilo,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Andakoro I,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Antsihanaka,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Motombe Est,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Motombe West,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Antanimikodoy,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Morafeno Bokarano,Betsipolitra,Miandrivazo,Menabe,Toliara
Ambalamanga,Betsipolitra,Miandrivazo,Menabe,Toliara
Ampoza Atsimo,Betsipolitra,Miandrivazo,Menabe,Toliara
Betsipolitra,Betsipolitra,Miandrivazo,Menabe,Toliara
Antsandoka,Betsipolitra,Miandrivazo,Menabe,Toliara
Andranomena,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Ankoronga Andatabo,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Andakoro II,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Toby Betela,Betsinjaka,Toliary-II,Atsimo-Andrefana,Toliara
Berano Ambony,Betsipolitra,Miandrivazo,Menabe,Toliara
Isorana,Isorana,Isandra,Matsiatra Ambony,Fianarantsoa
Ankitekiteke,Itampolo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Anataky,Emagnobo,Taolagnaro,Anosy,Toliara
Emagnobo,Emagnobo,Taolagnaro,Anosy,Toliara
Anonobe,Emagnobo,Taolagnaro,Anosy,Toliara
Ambatata,Betsipolitra,Miandrivazo,Menabe,Toliara
Betsizaraina,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Ampasimbola,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Ambinaniango,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Andovolalina,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Tratramarina,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Betamotamo,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Niarovanivolo,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Tsangambato,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Menagisy,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Beanana,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Ambodivoangy,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Salehy,Betsizaraina,Mahanoro,Atsinanana,Toamasina
Betsohana,Betsohana,Mandoto,Vakinankaratra,Antananarivo
Vatomanjaka,Betsohana,Mandoto,Vakinankaratra,Antananarivo
Ambatomainty,Betsohana,Mandoto,Vakinankaratra,Antananarivo
Mahabo,Bevata,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Voronabo,Bevata,Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Soanafindra,Bevato,Tsiroanomandidy,Bongolava,Antananarivo
Ankadinandriana,Bevato,Tsiroanomandidy,Bongolava,Antananarivo
Anosy Kely Atsimo,Maevatanana I,Maevatanana,Betsiboka,Mahajanga
Morarano,Maevatanana I,Maevatanana,Betsiboka,Mahajanga
Ambodimanary,Maevatanana I,Maevatanana,Betsiboka,Mahajanga
Ambalaranobe,Maevatanana II,Maevatanana,Betsiboka,Mahajanga
Ampalahodambo,Fandrandava,Lalangina,Matsiatra Ambony,Fianarantsoa
Andranotakatra,Fandrandava,Lalangina,Matsiatra Ambony,Fianarantsoa
Ambohibary I,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Ankazondrano Nord,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Ambatoasana,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Andohariana,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Anjomakely,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Morarano,Fiadanana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambohimitombo,Fiadanana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Jerosalema Vaovao,Fiadanana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Fiadanana II,Fiadanana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Manjarisoa,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Soavina,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Madera Firaisana,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Vohitrambo,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Lavahiky,Fandriana,Fandriana,Amoron'i Mania,Fianarantsoa
Andrere,Fiadanana,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Manantenasoa,Fihaonana,Ankazobe,Analamanga,Antananarivo
Vohidroy,Fenoarivo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Anapala,Fenoarivo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Tsaratanana,Fenoarivo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Beringiritra,Fenoarivo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Emikaiky,Fenoarivo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Lohasay,Fenoarivo,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Bevaro,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Anivorano,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Bevato,Bevato,Tsiroanomandidy,Bongolava,Antananarivo
Fihaonana,Bevato,Tsiroanomandidy,Bongolava,Antananarivo
Vohidrazana,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Sahafasenina,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Ambohijanahary,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Ambohimanjaka,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Ambohimanga,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Tsaratampona,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Ambatofotsy,Maevatanana I,Maevatanana,Betsiboka,Mahajanga
Morafenokely,Maevatanana I,Maevatanana,Betsiboka,Mahajanga
Anivorano I,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Edera,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Tsikoakahitse,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Mahazoarivo,Bevato,Tsiroanomandidy,Bongolava,Antananarivo
Betsintsy,Bevitiky,Bekily,Androy,Toliara
Beanatsindrabe,Bevonotra,Sambava,Sava,Antsiranana
Mahavanona,Bevonotra,Sambava,Sava,Antsiranana
Antanambaobe,Bevonotra,Sambava,Sava,Antsiranana
Bealampona B,Bevonotra,Sambava,Sava,Antsiranana
Antsahabe,Bevonotra,Sambava,Sava,Antsiranana
Ambalaharongana,Bevonotra,Sambava,Sava,Antsiranana
Andranomadio,Bevonotra,Sambava,Sava,Antsiranana
Antsahapolisy,Bevonotra,Sambava,Sava,Antsiranana
Sakamalio,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Besakoa,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Antanandava,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Fenoanala,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Andranolava,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Anja,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Behisatra,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Ambohimitsinjo,Bevonotra,Sambava,Sava,Antsiranana
Andasibe,Bevonotra,Sambava,Sava,Antsiranana
Tsaratanana,Bevonotra,Sambava,Sava,Antsiranana
Mahasoa,Bevonotra,Sambava,Sava,Antsiranana
Antsiatsiaka,Bevonotra,Sambava,Sava,Antsiranana
Ankily,Bevoay,Taolagnaro,Anosy,Toliara
Fenoambany,Bevoay,Taolagnaro,Anosy,Toliara
Enekara Bas,Bevoay,Taolagnaro,Anosy,Toliara
Ambanjahilatra,Bevonotra,Sambava,Sava,Antsiranana
Ambodimandresy,Bevonotra,Sambava,Sava,Antsiranana
Maromiandra,Boanamary,Mahajanga II,Boeny,Mahajanga
Boanamary,Boanamary,Mahajanga II,Boeny,Mahajanga
Befotaka Ambalatany,Boanamary,Mahajanga II,Boeny,Mahajanga
Amboanio,Boanamary,Mahajanga II,Boeny,Mahajanga
Tsararivotra,Boanamary,Mahajanga II,Boeny,Mahajanga
Misay,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Behabobo,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Bezaha I,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Bezaha IIi,Bezaha,Betioky Atsimo,Atsimo-Andrefana,Toliara
Mandrosoa Morahariva,Boanamary,Mahajanga II,Boeny,Mahajanga
Ampotakalanana,Bobakindro,Vohemar,Sava,Antsiranana
Maromokotra Salafaina,Bobakindro,Vohemar,Sava,Antsiranana
Andranomena,Bobasakoa,Antsiranana II,Diana,Antsiranana
Bobasakoa,Bobasakoa,Antsiranana II,Diana,Antsiranana
Ambolipamba,Bobasakoa,Antsiranana II,Diana,Antsiranana
Anjomakely,Bongatsara,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ambohibao,Bongatsara,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ambohimiadana,Bongatsara,Antananarivo Atsimondrano,Analamanga,Antananarivo
Amboanjobe,Bongatsara,Antananarivo Atsimondrano,Analamanga,Antananarivo
Amberokely,Bongatsara,Antananarivo Atsimondrano,Analamanga,Antananarivo
Antsanavo,Bobakilandy,Antsiranana II,Diana,Antsiranana
Ambohibada,Bobakindro,Vohemar,Sava,Antsiranana
Analavelona,Bobakindro,Vohemar,Sava,Antsiranana
Ambalavato,Bobakindro,Vohemar,Sava,Antsiranana
Bobakindro,Bobakindro,Vohemar,Sava,Antsiranana
Antsahabe,Bongatsara,Antananarivo Atsimondrano,Analamanga,Antananarivo
Ambolamena,Bongatsara,Antananarivo Atsimondrano,Analamanga,Antananarivo
Menagisy,Brickaville,Brickaville,Atsinanana,Toamasina
Ampasimaneva,Brickaville,Brickaville,Atsinanana,Toamasina
Sahamorona,Brickaville,Brickaville,Atsinanana,Toamasina
Lohomby,Brickaville,Brickaville,Atsinanana,Toamasina
Ambodivoangy,Brickaville,Brickaville,Atsinanana,Toamasina
Mahabe I,Brieville,Tsaratanana,Betsiboka,Mahajanga
Beherana,Brieville,Tsaratanana,Betsiboka,Mahajanga
Antanimbaritsara,Brieville,Tsaratanana,Betsiboka,Mahajanga
Vatoarivo,Bevitiky,Bekily,Androy,Toliara
Tsioga Vohimary,Bevitiky,Bekily,Androy,Toliara
Befamonty,Bevitiky,Bekily,Androy,Toliara
Masiakena,Bevoay,Taolagnaro,Anosy,Toliara
Ampaho,Bevoay,Taolagnaro,Anosy,Toliara
Ambohitranivo,Brieville,Tsaratanana,Betsiboka,Mahajanga
Brieville II,Brieville,Tsaratanana,Betsiboka,Mahajanga
Brieville I,Brieville,Tsaratanana,Betsiboka,Mahajanga
Tombakatsa,Brieville,Tsaratanana,Betsiboka,Mahajanga
Andalotsola,Camp Robin,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Maroadabokely,Brieville,Tsaratanana,Betsiboka,Mahajanga
Ambalanirana,Brieville,Tsaratanana,Betsiboka,Mahajanga
Begisa,Brieville,Tsaratanana,Betsiboka,Mahajanga
Antsampandrano,Brieville,Tsaratanana,Betsiboka,Mahajanga
Ambodiketsa Atsimo,Brieville,Tsaratanana,Betsiboka,Mahajanga
Menagisy,Sambava Cu,Sambava,Sava,Antsiranana
Besopaka,Sambava Cu,Sambava,Sava,Antsiranana
Ambatofitatra,Sambava Cu,Sambava,Sava,Antsiranana
Antanifotsy II,Sambava Cu,Sambava,Sava,Antsiranana
Antanifotsy I,Sambava Cu,Sambava,Sava,Antsiranana
Manda,Camp Robin,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ankitsikitsika,Camp Robin,Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ambariomihambana,Sambava Cu,Sambava,Sava,Antsiranana
Ambohitrakongona,Sambava Cu,Sambava,Sava,Antsiranana
Soavinandriana,Sambava Cu,Sambava,Sava,Antsiranana
Ampisasahanala,Sambava Cu,Sambava,Sava,Antsiranana
Analamandrorofo,Sambava Cu,Sambava,Sava,Antsiranana
Antsirabe,Sambava Cu,Sambava,Sava,Antsiranana
Antaimby,Sambava Cu,Sambava,Sava,Antsiranana
Sambava Centre,Sambava Cu,Sambava,Sava,Antsiranana
Andimaka,Dabolava,Miandrivazo,Menabe,Toliara
Dabolava,Dabolava,Miandrivazo,Menabe,Toliara
Andrafiamena,Daraina,Vohemar,Sava,Antsiranana
Befarafara,Daraina,Vohemar,Sava,Antsiranana
Bedabo,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Ambodisatrana I,Sambava Cu,Sambava,Sava,Antsiranana
Ampandrozonana,Sambava Cu,Sambava,Sava,Antsiranana
Madiokely,Dabolava,Miandrivazo,Menabe,Toliara
Betamotamo,Dabolava,Miandrivazo,Menabe,Toliara
Ankiranomena,Dabolava,Miandrivazo,Menabe,Toliara
Tanambao Tsena,Diego Suarez,Antsiranana I,Diana,Antsiranana
Tanambao Avaratra,Diego Suarez,Antsiranana I,Diana,Antsiranana
Tanambao Sud,Diego Suarez,Antsiranana I,Diana,Antsiranana
Grand Pavois,Diego Suarez,Antsiranana I,Diana,Antsiranana
Ambohimitsinjo,Diego Suarez,Antsiranana I,Diana,Antsiranana
Lazaret Nord,Diego Suarez,Antsiranana I,Diana,Antsiranana
Mangarivotra,Diego Suarez,Antsiranana I,Diana,Antsiranana
Tanambao V,Diego Suarez,Antsiranana I,Diana,Antsiranana
Tanambao IIi,Diego Suarez,Antsiranana I,Diana,Antsiranana
Tanambao Iv,Diego Suarez,Antsiranana I,Diana,Antsiranana
Manakambahinikely,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Fierenana,Didy,Ambatondrazaka,Alaotra-Mangoro,Toamasina
Anamakia,Diego Suarez,Antsiranana I,Diana,Antsiranana
Place Kabary,Diego Suarez,Antsiranana I,Diana,Antsiranana
Bazarikely,Diego Suarez,Antsiranana I,Diana,Antsiranana
Mahatsara,Diego Suarez,Antsiranana I,Diana,Antsiranana
Tsaramandroso,Diego Suarez,Antsiranana I,Diana,Antsiranana
Lazaret Sud,Diego Suarez,Antsiranana I,Diana,Antsiranana
Cite Ouvriere,Diego Suarez,Antsiranana I,Diana,Antsiranana
Morafeno,Diego Suarez,Antsiranana I,Diana,Antsiranana
Scama,Diego Suarez,Antsiranana I,Diana,Antsiranana
Ambalavola,Diego Suarez,Antsiranana I,Diana,Antsiranana
Ambalakazaha,Diego Suarez,Antsiranana I,Diana,Antsiranana
Soafeno,Diego Suarez,Antsiranana I,Diana,Antsiranana
Avenir,Diego Suarez,Antsiranana I,Diana,Antsiranana
Andranoroa,Doany,Andapa,Sava,Antsiranana
Ambalihabe,Doany,Andapa,Sava,Antsiranana
Doany,Doany,Andapa,Sava,Antsiranana
Betsomanga,Doany,Andapa,Sava,Antsiranana
Androfiabe,Doany,Andapa,Sava,Antsiranana
Ambatomalama,Boanamary,Mahajanga II,Boeny,Mahajanga
Manirenja,Bobakilandy,Antsiranana II,Diana,Antsiranana
Ampanangana,Bobakilandy,Antsiranana II,Diana,Antsiranana
Bobakilandy,Bobakilandy,Antsiranana II,Diana,Antsiranana
Ambatoafo,Bobakilandy,Antsiranana II,Diana,Antsiranana
Madera,Dondona,Soavinandriana,Itasy,Antananarivo
Bevomanga,Dondona,Soavinandriana,Itasy,Antananarivo
Ambohitrafovoany,Dondona,Soavinandriana,Itasy,Antananarivo
Dondona,Dondona,Soavinandriana,Itasy,Antananarivo
Bemasoandro,Dondona,Soavinandriana,Itasy,Antananarivo
Betaholana,Doany,Andapa,Sava,Antsiranana
Antsahaberaoka,Doany,Andapa,Sava,Antsiranana
Tetivato,Dondona,Soavinandriana,Itasy,Antananarivo
Malailay,Dondona,Soavinandriana,Itasy,Antananarivo
Ambohitrakely,Dondona,Soavinandriana,Itasy,Antananarivo
Vangaindranokely,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Tanambao,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambalanomby,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Mahatsara Atsimo,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambalafary,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Tanambao Belinta,Djangoa,Ambanja,Diana,Antsiranana
Befamatra,Doany,Andapa,Sava,Antsiranana
Anjialavahely,Doany,Andapa,Sava,Antsiranana
Andranomilolo,Doany,Andapa,Sava,Antsiranana
Ambodizavy,Doany,Andapa,Sava,Antsiranana
Amboetsy,Ebelo,Amboasary-Atsimo,Anosy,Toliara
Anaramaliniky,Ebelo,Amboasary-Atsimo,Anosy,Toliara
Mahafasa Atsimo,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambalakininy,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Fenoarivo Atsimo,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Marofototra,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Impitiny,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Fenoarivo Nord,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambohitrabo,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Nosinakoho,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Andranomakoko,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Morafeno,Farafangana,Farafangana,Atsimo-Atsinanana,Fianarantsoa
Ambohimanana,Fenoarivo,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Antsahamiady,Fenoarivo,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Tsimamaliavona,Fenoarivo,Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Analasoa,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Miadampahonina,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Andranomilitse I,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Ambohiboahangy,Fiadanana,Fandriana,Amoron'i Mania,Fianarantsoa
Antananomby,Fiadanana,Fandriana,Amoron'i Mania,Fianarantsoa
Fenoarivo Centre,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Aminampanga,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Tsinjorano,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Ambatomitsangambe,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Ankadibevava,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Antanetibe,Fiadanana,Ambohidratrimo,Analamanga,Antananarivo
Manjakatompo,Fiadanana,Ambohidratrimo,Analamanga,Antananarivo
Ambohinaorina,Fiadanana,Ambohidratrimo,Analamanga,Antananarivo
Ambohitsaratelo,Fiadanana,Ambohidratrimo,Analamanga,Antananarivo
Ampatakana,Fierenana,Moramanga,Alaotra-Mangoro,Toamasina
Belinjo I,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Ampandrambe,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Ankatrafay,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Anavoha Ambonirano,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Analafantsika,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Anavoha Centre,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Anavoha Sud,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Tanandava,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Ambodivoahangy I,Ifasina I,Vatomandry,Atsinanana,Toamasina
Vohibahoaka,Ifasina I,Vatomandry,Atsinanana,Toamasina
Tsaramandroso,Ifasina I,Vatomandry,Atsinanana,Toamasina
Andravoravo,Ifasina I,Vatomandry,Atsinanana,Toamasina
Tetezampaho,Ifasina I,Vatomandry,Atsinanana,Toamasina
Mahafaina,Ifasina I,Vatomandry,Atsinanana,Toamasina
Ampasimaneva,Ifasina I,Vatomandry,Atsinanana,Toamasina
Ampitamalandy,Ifasina I,Vatomandry,Atsinanana,Toamasina
Maizinandro,Ifasina I,Vatomandry,Atsinanana,Toamasina
Ampitabe,Ifasina I,Vatomandry,Atsinanana,Toamasina
Ilamaka,Ifasina I,Vatomandry,Atsinanana,Toamasina
Vatovaky,Ifasina I,Vatomandry,Atsinanana,Toamasina
Ambohitromby,Fierenana,Moramanga,Alaotra-Mangoro,Toamasina
Ankailava,Fierenana,Moramanga,Alaotra-Mangoro,Toamasina
Amboanjo,Fierenana,Moramanga,Alaotra-Mangoro,Toamasina
Amparihivola,Fierenana,Moramanga,Alaotra-Mangoro,Toamasina
Fenoarivo,Fierenana,Tsiroanomandidy,Bongolava,Antananarivo
Sandrakazo,Ifasina I,Vatomandry,Atsinanana,Toamasina
Ifasina II,Ifasina II,Vatomandry,Atsinanana,Toamasina
Ambodivoangy II,Ifasina II,Vatomandry,Atsinanana,Toamasina
Ankadilanambe,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Morarano,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Tsaramandroso,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Ambaniandrefana,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Tanambao,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Fanjakamandroso,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Andrefantsena,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Anarafanja,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Tanakaompania,Ihosy,Ihosy,Ihorombe,Fianarantsoa
Andakana,Ilaka Centre,Ambositra,Amoron'i Mania,Fianarantsoa
Ambatovory,Ilaka Centre,Ambositra,Amoron'i Mania,Fianarantsoa
Ambalatany,Ilaka Centre,Ambositra,Amoron'i Mania,Fianarantsoa
Ambodivandrika,Ilaka Est,Vatomandry,Atsinanana,Toamasina
Ambodilahoaty,Ilaka Est,Vatomandry,Atsinanana,Toamasina
Langilava,Ilaka Est,Vatomandry,Atsinanana,Toamasina
Andranoambia,Ilaka Est,Vatomandry,Atsinanana,Toamasina
Andranomadio,Ilaka Est,Vatomandry,Atsinanana,Toamasina
Imerimandroso,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Andranomirafy,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Ambonivondrona,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Ambohitsaratelo,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Mangarivo,Fenoarivo Centre,Fenoarivobe,Bongolava,Antananarivo
Antseranandavitra,Ilaka Est,Vatomandry,Atsinanana,Toamasina
Besakoa,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Ambatomainty,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Andamaky,Fotadrevo,Ampanihy Ouest,Atsimo-Andrefana,Toliara
